time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA
1574087400,3117.91,3124.17,3112.06,3122.03,NaN,NaN,NaN,NaN,1834376060,1876496382
1574173800,3127.45,3127.64,3113.47,3120.18,NaN,NaN,NaN,NaN,1924172380,1880541771
1574260200,3114.66,3118.97,3091.41,3108.46,NaN,NaN,NaN,NaN,2372417260,1911118817.5
1574346600,3108.49,3110.11,3094.55,3103.54,NaN,NaN,NaN,NaN,1862138390,1907429794.5
1574433000,3111.41,3112.87,3099.26,3110.29,NaN,NaN,NaN,NaN,1626733210,1900095160
1574692200,3117.44,3133.83,3117.44,3133.64,NaN,NaN,NaN,NaN,1904704050,1901771962.5
1574778600,3134.85,3142.69,3131,3140.52,NaN,NaN,NaN,NaN,2493336600,1935841002.5
1574865000,3145.49,3154.26,3143.41,3153.63,NaN,NaN,NaN,NaN,1493045170,1912084613.5
1575037800,3147.18,3150.3,3139.34,3140.98,NaN,NaN,NaN,NaN,836642225,1843540654.75
1575297000,3143.85,3144.31,3110.78,3113.87,NaN,NaN,NaN,NaN,1786642210,1835336908.25
1575383400,3087.41,3094.97,3070.33,3093.2,NaN,NaN,NaN,NaN,1991484980,1829192699.75
1575469800,3103.5,3119.38,3102.53,3112.76,NaN,NaN,NaN,NaN,1791049390,1806252502.25
1575556200,3119.21,3119.45,3103.76,3117.43,NaN,NaN,NaN,NaN,1645721930,1787423012.75
1575642600,3134.62,3150.6,3134.62,3145.91,NaN,NaN,NaN,NaN,1699014300,1764368871.75
1575901800,3141.86,3148.87,3135.46,3135.96,NaN,NaN,NaN,NaN,1596216270,1759580949.75
1575988200,3135.36,3142.12,3126.09,3132.52,NaN,NaN,NaN,NaN,1662835230,1772334682.75
1576074600,3135.75,3143.98,3133.21,3141.63,NaN,NaN,NaN,NaN,1711032900,1773779747.75
1576161000,3141.23,3176.28,3138.47,3168.57,NaN,NaN,NaN,NaN,2217305090,1798807770.25
1576247400,3166.65,3182.68,3156.51,3168.8,NaN,NaN,NaN,NaN,1956819990,1813712357.75
1576506600,3183.63,3197.71,3183.63,3191.45,NaN,NaN,NaN,NaN,2164545450,1828511654.25
